Gender,Age,openness_trait,conscientiousness_trait,extraversion_trait,agreeableness_trait,neuroticism_trait,openness_percentile,conscientiousness_percentile,extraversion_percentile,agreeableness_percentile,neuroticism_percentile,age_group,number_purchase,Electronics_amount,Electronics_ratio,Fashion_amount,Fashion_ratio,Home & Garden_amount,Home & Garden_ratio,Collectibles_amount,Collectibles_ratio,Lifestyle_amount,Lifestyle_ratio,Parts & Accessories_amount,Parts & Accessories_ratio,Business & Industrial_amount,Business & Industrial_ratio,Media_amount,Media_ratio,Vehicles_amount,Vehicles_ratio
Male,32,3.1,2.875,3.25,2.444444444,3.375,0.102941176,0.029411765,0.426470588,0,0.794117647,c,23,16,0.695652174,1,0.043478261,4,0.173913043,1,0.043478261,1,0.043478261,0,0,0,0,0,0,0,0
Male,29,3.7,3.375,3.625,3.777777778,2.5,0.573529412,0.220588235,0.617647059,0.426470588,0.352941176,b,189,114,0.603174603,41,0.216931217,24,0.126984127,4,0.021164021,3,0.015873016,3,0.015873016,0,0,0,0,0,0
Male,35,3.3,3.5,3.25,3.222222222,2.625,0.25,0.308823529,0.426470588,0.088235294,0.441176471,d,270,114,0.422222222,64,0.237037037,41,0.151851852,26,0.096296296,15,0.055555556,7,0.025925926,3,0.011111111,0,0,0,0
Male,34,3.4,3.25,3.25,4.222222222,2.5,0.323529412,0.161764706,0.426470588,0.764705882,0.352941176,c,63,37,0.587301587,15,0.238095238,2,0.031746032,6,0.095238095,0,0,2,0.031746032,0,0,1,0.015873016,0,0
Male,28,3.6,4.25,3.125,4.222222222,2.375,0.485294118,0.779411765,0.367647059,0.764705882,0.279411765,b,20,15,0.75,2,0.1,3,0.15,0,0,0,0,0,0,0,0,0,0,0,0
Female,30,3.5,4,2.5,3.444444444,3.625,0.411764706,0.632352941,0.132352941,0.205882353,0.852941176,c,166,29,0.174698795,55,0.331325301,61,0.36746988,11,0.06626506,9,0.054216867,0,0,0,0,1,0.006024096,0,0
Male,32,4.1,3.125,2.625,3.666666667,2.25,0.764705882,0.132352941,0.176470588,0.367647059,0.235294118,c,54,45,0.833333333,4,0.074074074,3,0.055555556,1,0.018518519,1,0.018518519,0,0,0,0,0,0,0,0
Male,32,3.9,3.875,2.875,4.333333333,2.25,0.617647059,0.529411765,0.279411765,0.852941176,0.235294118,c,134,49,0.365671642,24,0.179104478,47,0.350746269,2,0.014925373,4,0.029850746,6,0.044776119,2,0.014925373,0,0,0,0
Female,40,3.3,4.125,4.625,3.888888889,2.625,0.25,0.720588235,0.985294118,0.544117647,0.441176471,e,33,20,0.606060606,6,0.181818182,2,0.060606061,4,0.121212121,1,0.03030303,0,0,0,0,0,0,0,0
Male,40,4,4.5,4.25,3.777777778,2.5,0.720588235,0.926470588,0.867647059,0.426470588,0.352941176,e,34,26,0.764705882,3,0.088235294,3,0.088235294,2,0.058823529,0,0,0,0,0,0,0,0,0,0
