,first_purchase,last_purchase,tempo_purchase,day_ratio,evening_ratio,night_ratio,Electronics_ratio,Fashion_ratio,Home & Garden_ratio,Collectibles_ratio,Lifestyle_ratio,Parts & Accessories_ratio,Business & Industrial_ratio,Media_ratio,median_purchase_price_percentile,q1_purchase_price_percentile,q3_purchase_price_percentile,min_purchase_price_percentile,max_purchase_price_percentile,Age,gender,number_purchase,openness_trait,conscientiousness_trait,extraversion_trait,agreeableness_trait,neuroticism_trait
first_purchase,1.0,0.000926100390883,0.457770664704,0.0546795287199,-0.168222809986,0.122415186823,-0.268899056592,0.328956850542,0.0235794236269,0.271747274221,-0.160217246507,-0.489511287812,0.24848731047,0.136092728362,-0.363583385542,-0.291635267866,-0.366288868188,-0.0469657011812,-0.329451082834,-0.307357117829,-0.398755181958,-0.122180555983,-0.160466911322,-0.00863164202926,0.0747349824206,0.107870209584,0.320213418191
last_purchase,0.000926100390883,1.0,0.192075995087,-0.0344184367666,0.0750031407908,0.0347528916174,0.0607785501538,-0.148427544189,0.0251840297192,0.183446510539,-0.152616273958,0.1646040398,-0.0120073403412,0.0824288805563,-0.141290516122,-0.212140195635,-0.114669799354,-0.298723590268,0.0526446018897,0.0457449433869,-0.0611528165544,0.211125287324,-0.0471573743641,-0.211796167748,-0.117538232292,0.143344691592,-0.198942981803
tempo_purchase,0.457770664704,0.192075995087,1.0,-0.0222934630909,-0.0285582506477,0.0993151288606,-0.332662175979,0.425979139945,-0.123972236268,0.108189079022,0.0228634903408,-0.236842283082,0.0846268475495,-0.10853573426,-0.347670787703,-0.374472321925,-0.331354595814,-0.357651554633,0.0578017002059,0.0128310426499,-0.360810332775,0.679527928352,-0.362137820881,0.1370067883,0.0167216856197,0.19800213922,0.0429487277758
day_ratio,0.0546795287199,-0.0344184367666,-0.0222934630909,1.0,-0.876155816251,-0.718787947451,-0.0317276303953,-0.0901473505,0.151922428682,0.224835046856,0.0220131615101,-0.167833997143,-0.076142030555,0.212190604224,-0.0591887383595,-0.0953429197069,-0.170396775172,0.0296896376693,-0.211887067137,0.140063533559,-0.0714803261663,0.0238858261252,0.236075139275,0.109950583564,0.156256561727,0.357934465039,-0.2981881265
evening_ratio,-0.168222809986,0.0750031407908,-0.0285582506477,-0.876155816251,1.0,0.326176474907,-0.0571562627969,0.0101796692233,-0.0546707657572,-0.175238388993,0.13178751183,0.339087427787,0.0721895785949,-0.206732344351,0.039727010989,0.0859231666853,0.135800237645,-0.0345568056477,0.167849941492,0.028608769269,0.114317663279,-0.0469650880528,-0.0926543975581,-0.0273981820918,-0.058642744089,-0.231091792098,0.251024698366
night_ratio,0.122415186823,0.0347528916174,0.0993151288606,-0.718787947451,0.326176474907,1.0,0.189342669078,0.148106810983,-0.170338993664,-0.309342289081,-0.250017451988,-0.167283973086,0.0308629291199,-0.229661787031,-0.0402960349239,-0.0344168689859,0.055491963477,-0.0541632976356,0.195762951969,-0.333703177761,-0.0181888474888,0.0269692183666,-0.208824742719,-0.17735329653,-0.279816709587,-0.340929404076,0.250624877164
Electronics_ratio,-0.268899056592,0.0607785501538,-0.332662175979,-0.0317276303953,-0.0571562627969,0.189342669078,1.0,-0.781551180326,-0.288008616322,-0.298101067486,0.224289203719,0.0490032821927,0.0835933384467,-0.139497705781,0.00488961604892,0.00353842755608,0.0854771466244,0.205508541809,0.00132833085332,-0.150136746725,0.667773745457,-0.0845253625939,0.202144566957,-0.294945646672,-0.230063762015,0.0274388328989,-0.135243293835
Fashion_ratio,0.328956850542,-0.148427544189,0.425979139945,-0.0901473505,0.0101796692233,0.148106810983,-0.781551180326,1.0,-0.111678442347,0.0220664030395,-0.406767106034,-0.22075130078,-0.0636838302314,-0.0939721188147,-0.0838393366606,-0.0736382648562,-0.140661994557,-0.118138863346,0.0443375211049,-0.00253376097236,-0.663766991096,0.220835683852,-0.29053005362,0.117187104377,0.0448538140455,-0.0825098715227,0.266198777873
Home & Garden_ratio,0.0235794236269,0.0251840297192,-0.123972236268,0.151922428682,-0.0546707657572,-0.170338993664,-0.288008616322,-0.111678442347,1.0,-0.136669058207,-0.19852591676,-0.168994299535,-0.0510414787713,-0.0628804617475,-0.240238008922,-0.291809443035,-0.28916412549,-0.374350783871,-0.284157611274,-0.0954508292125,-0.284551026751,-0.205902221309,0.0769344302484,0.365491612909,0.21045272446,0.0601128706473,0.0496696082321
Collectibles_ratio,0.271747274221,0.183446510539,0.108189079022,0.224835046856,-0.175238388993,-0.309342289081,-0.298101067486,0.0220664030395,-0.136669058207,1.0,0.0354053981859,-0.107064777849,-0.134877862782,0.640451318347,0.163534241284,0.206710872417,0.110133310132,-0.0276003938158,-0.0552005958234,0.162051951734,-0.116064715527,-0.0495665677256,-0.0123218358591,0.0813449016083,0.117186724568,0.13371928621,-0.172906473975
