,first_purchase,last_purchase,tempo_purchase,day_ratio,evening_ratio,night_ratio,Electronics_ratio,Fashion_ratio,Home & Garden_ratio,Collectibles_ratio,Lifestyle_ratio,Parts & Accessories_ratio,Business & Industrial_ratio,Media_ratio,median_purchase_price_percentile,q1_purchase_price_percentile,q3_purchase_price_percentile,min_purchase_price_percentile,max_purchase_price_percentile,Age,gender,number_purchase,openness_trait,conscientiousness_trait,extraversion_trait,agreeableness_trait,neuroticism_trait,openness_percentile,conscientiousness_percentile,extraversion_percentile,agreeableness_percentile,neuroticism_percentile
4,2012.97260274,2018.02191781,37.6288659794,0.470588235294,0.213235294118,0.257352941176,0.605263157895,0.215789473684,0.126315789474,0.0210526315789,0.0157894736842,0.0157894736842,0.0,0.0,0.382352941176,0.529411764706,0.558823529412,0.382352941176,0.617647058824,29,1,190.0,3.7,3.375,3.625,3.77777777778,2.5,0.5375,0.2375,0.6,0.375,0.4125
5,2011.29315068,2017.98356164,40.3562653563,0.584541062802,0.183574879227,0.193236714976,0.422222222222,0.237037037037,0.151851851852,0.0962962962963,0.0555555555556,0.0259259259259,0.0111111111111,0.0,0.529411764706,0.382352941176,0.5,0.176470588235,0.470588235294,35,1,270.0,3.3,3.5,3.25,3.22222222222,2.625,0.2375,0.3125,0.425,0.075,0.5
7,2013.5369863,2017.96438356,14.2295792079,0.666666666667,0.166666666667,0.104166666667,0.587301587302,0.238095238095,0.031746031746,0.0952380952381,0.0,0.031746031746,0.0,0.015873015873,1.0,1.0,1.0,1.0,0.735294117647,34,1,63.0,3.4,3.25,3.25,4.22222222222,2.5,0.3,0.1625,0.425,0.75,0.4125
11,2011.32876712,2017.97534247,24.9752679308,0.517543859649,0.254385964912,0.210526315789,0.174698795181,0.331325301205,0.367469879518,0.066265060241,0.0542168674699,0.0,0.0,0.00602409638554,0.735294117647,0.705882352941,0.705882352941,0.235294117647,0.705882352941,30,0,166.0,3.5,4.0,2.5,3.44444444444,3.625,0.3875,0.625,0.1375,0.175,0.875
15,2011.22191781,2018.03561644,19.9597909127,0.860869565217,0.095652173913,0.0260869565217,0.360294117647,0.176470588235,0.352941176471,0.0147058823529,0.0294117647059,0.0441176470588,0.0220588235294,0.0,0.264705882353,0.176470588235,0.264705882353,0.264705882353,0.117647058824,32,1,136.0,3.9,3.875,2.875,4.33333333333,2.25,0.6,0.5125,0.275,0.85,0.3125
21,2010.37534247,2017.99178082,11.4226618705,0.346153846154,0.538461538462,0.115384615385,0.264367816092,0.35632183908,0.333333333333,0.0229885057471,0.0229885057471,0.0,0.0,0.0,0.117647058824,0.147058823529,0.176470588235,0.0,0.323529411765,30,0,87.0,3.5,3.875,2.375,3.44444444444,2.375,0.3875,0.5125,0.1,0.175,0.35
22,2012.03287671,2017.61917808,12.1726336439,0.935483870968,0.0161290322581,0.0,0.5,0.0441176470588,0.220588235294,0.0441176470588,0.191176470588,0.0,0.0,0.0,0.382352941176,0.323529411765,0.382352941176,0.764705882353,0.0882352941176,40,1,68.0,3.9,4.25,2.75,4.0,1.875,0.6,0.775,0.2125,0.5625,0.1625
23,2016.98630137,2017.9890411,91.7486338798,0.420289855072,0.347826086957,0.217391304348,0.054347826087,0.619565217391,0.25,0.0652173913043,0.0108695652174,0.0,0.0,0.0,0.0,0.0294117647059,0.0,0.264705882353,0.676470588235,29,0,92.0,3.6,4.5,4.125,4.33333333333,3.75,0.4625,0.9125,0.8125,0.85,0.9125
24,2010.55068493,2018.03561644,12.2913616398,0.5,0.38,0.08,0.434782608696,0.228260869565,0.163043478261,0.0326086956522,0.0108695652174,0.119565217391,0.0,0.0,0.382352941176,0.352941176471,0.470588235294,0.647058823529,0.5,45,1,92.0,3.9,4.375,3.25,4.11111111111,2.75,0.6,0.875,0.425,0.6625,0.575
29,2015.56986301,2018.02739726,41.9119286511,0.671232876712,0.164383561644,0.0684931506849,0.31067961165,0.223300970874,0.21359223301,0.135922330097,0.0582524271845,0.0194174757282,0.00970873786408,0.0291262135922,0.676470588235,0.441176470588,0.588235294118,0.470588235294,0.294117647059,36,0,103.0,3.0,3.875,2.75,3.88888888889,1.875,0.05,0.5125,0.2125,0.5125,0.1625
